2,5
5,15
3,7
5,7
3,14
3,4
1,2
4,15
4,7
3,18
1,1
4,10
2,12
5,17
5,4
1,13
4,12
3,14
2,15
5,13
1,5
2,19
1,18
5,8
5,9
2,8
4,1
3,15
1,6
2,4
4,7
5,5
2,12
2,18
5,5
1,17
5,9
2,7
1,15
2,8
1,6
1,6
5,17
4,11
1,6
5,19
5,4
3,18
3,16
3,4
2,11
5,8
4,4
4,13
5,9
2,12
4,7
5,10
3,6
5,11
2,11
4,10
4,8
2,1
2,17
5,10
4,2
3,19
4,4
1,4
1,16
4,8
2,7
3,14
3,19
5,17
1,19
1,12
4,7
1,13
3,16
5,8
5,2
3,20
3,17
2,1
5,14
4,1
1,6
5,9
3,10
1,3
1,5
3,8
4,8
2,2
5,8
5,16
5,9
5,8
5,16
5,9
5,8
5,16
5,9
5,10
5,16
5,9
5,10
5,16
5,9
5,10
5,16
5,9
5,10
5,16
5,9
5,10
5,16
5,9
5,10
5,16
5,10
5,16
5,10
5,16
5,10
5,16
5,10
5,16
